Sample ID,Panel
luad_tsp_16594,TSP
luad_tsp_16596,TSP
luad_tsp_16600,TSP
luad_tsp_16606,TSP
luad_tsp_16608,TSP
luad_tsp_16616,TSP
luad_tsp_16626,TSP
luad_tsp_16628,TSP
luad_tsp_16630,TSP
luad_tsp_16632,TSP
luad_tsp_16636,TSP
luad_tsp_16638,TSP
luad_tsp_16640,TSP
luad_tsp_16646,TSP
luad_tsp_16648,TSP
luad_tsp_16660,TSP
luad_tsp_16664,TSP
luad_tsp_16668,TSP
luad_tsp_16670,TSP
luad_tsp_16678,TSP
luad_tsp_16684,TSP
luad_tsp_16686,TSP
luad_tsp_16696,TSP
luad_tsp_16698,TSP
luad_tsp_16706,TSP
luad_tsp_16710,TSP
luad_tsp_16712,TSP
luad_tsp_16724,TSP
luad_tsp_16730,TSP
luad_tsp_16734,TSP
luad_tsp_16740,TSP
luad_tsp_16742,TSP
luad_tsp_16748,TSP
luad_tsp_16750,TSP
luad_tsp_16754,TSP
luad_tsp_16760,TSP
luad_tsp_16770,TSP
luad_tsp_16772,TSP
luad_tsp_16774,TSP
luad_tsp_16784,TSP
luad_tsp_16786,TSP
luad_tsp_16792,TSP
luad_tsp_16800,TSP
luad_tsp_16802,TSP
luad_tsp_16814,TSP
luad_tsp_16821,TSP
luad_tsp_16823,TSP
luad_tsp_16825,TSP
luad_tsp_16827,TSP
luad_tsp_16835,TSP
luad_tsp_16839,TSP
luad_tsp_16841,TSP
luad_tsp_16845,TSP
luad_tsp_16857,TSP
luad_tsp_16859,TSP
luad_tsp_16861,TSP
luad_tsp_16863,TSP
luad_tsp_16875,TSP
luad_tsp_16879,TSP
luad_tsp_16881,TSP
luad_tsp_16883,TSP
luad_tsp_16901,TSP
luad_tsp_16905,TSP
luad_tsp_16907,TSP
luad_tsp_16909,TSP
luad_tsp_16913,TSP
luad_tsp_16915,TSP
luad_tsp_16919,TSP
luad_tsp_16921,TSP
luad_tsp_16925,TSP
luad_tsp_16927,TSP
luad_tsp_16929,TSP
luad_tsp_16937,TSP
luad_tsp_16947,TSP
luad_tsp_16949,TSP
luad_tsp_16951,TSP
luad_tsp_16953,TSP
luad_tsp_16963,TSP
luad_tsp_16965,TSP
luad_tsp_16973,TSP
luad_tsp_16975,TSP
luad_tsp_16979,TSP
luad_tsp_16993,TSP
luad_tsp_17042,TSP
luad_tsp_17055,TSP
luad_tsp_17060,TSP
luad_tsp_17146,TSP
luad_tsp_17150,TSP
luad_tsp_17152,TSP
luad_tsp_17154,TSP
luad_tsp_17156,TSP
luad_tsp_17158,TSP
luad_tsp_17170,TSP
luad_tsp_17172,TSP
luad_tsp_17174,TSP
luad_tsp_17176,TSP
luad_tsp_17182,TSP
luad_tsp_17184,TSP
luad_tsp_17186,TSP
luad_tsp_17190,TSP
luad_tsp_17194,TSP
luad_tsp_17202,TSP
luad_tsp_17206,TSP
luad_tsp_17210,TSP
luad_tsp_17216,TSP
luad_tsp_17218,TSP
luad_tsp_17222,TSP
luad_tsp_17226,TSP
luad_tsp_17228,TSP
luad_tsp_17234,TSP
luad_tsp_17238,TSP
luad_tsp_17242,TSP
luad_tsp_17250,TSP
luad_tsp_17258,TSP
luad_tsp_17260,TSP
luad_tsp_17262,TSP
luad_tsp_17264,TSP
luad_tsp_17268,TSP
luad_tsp_17272,TSP
luad_tsp_17280,TSP
luad_tsp_17282,TSP
luad_tsp_17286,TSP
luad_tsp_17288,TSP
luad_tsp_17290,TSP
luad_tsp_17292,TSP
luad_tsp_17294,TSP
luad_tsp_17298,TSP
luad_tsp_17302,TSP
luad_tsp_17304,TSP
luad_tsp_17306,TSP
luad_tsp_17308,TSP
luad_tsp_17316,TSP
luad_tsp_17320,TSP
luad_tsp_17324,TSP
luad_tsp_17326,TSP
luad_tsp_17328,TSP
luad_tsp_17330,TSP
luad_tsp_17726,TSP
luad_tsp_17727,TSP
luad_tsp_17728,TSP
luad_tsp_17730,TSP
luad_tsp_17731,TSP
luad_tsp_17733,TSP
luad_tsp_17735,TSP
luad_tsp_17738,TSP
luad_tsp_17739,TSP
luad_tsp_17741,TSP
luad_tsp_17743,TSP
luad_tsp_17745,TSP
luad_tsp_17746,TSP
luad_tsp_17747,TSP
luad_tsp_17750,TSP
luad_tsp_17754,TSP
luad_tsp_17759,TSP
luad_tsp_17760,TSP
luad_tsp_17763,TSP
luad_tsp_17766,TSP
luad_tsp_17769,TSP
luad_tsp_17776,TSP
luad_tsp_17777,TSP
luad_tsp_17778,TSP
luad_tsp_17781,TSP
luad_tsp_17784,TSP
P-0002320-T01-IM3,IMPACT341
P-0012866-T01-IM5,IMPACT410
P-0005975-T01-IM5,IMPACT410
P-0011254-T01-IM5,IMPACT410
P-0008370-T01-IM5,IMPACT410
P-0004279-T01-IM5,IMPACT410
P-0005320-T01-IM5,IMPACT410
P-0011149-T01-IM5,IMPACT410
P-0007633-T01-IM5,IMPACT410
P-0011033-T01-IM5,IMPACT410
P-0007978-T01-IM5,IMPACT410
P-0004054-T01-IM5,IMPACT410
P-0004472-T01-IM5,IMPACT410
P-0003229-T01-IM5,IMPACT410
P-0010213-T01-IM5,IMPACT410
P-0000670-T01-IM3,IMPACT341
P-0009469-T01-IM5,IMPACT410
P-0001830-T01-IM3,IMPACT341
P-0002874-T01-IM3,IMPACT341
P-0004232-T01-IM5,IMPACT410
P-0005981-T01-IM5,IMPACT410
P-0005721-T01-IM5,IMPACT410
P-0006330-T01-IM5,IMPACT410
P-0010891-T01-IM5,IMPACT410
P-0002751-T01-IM3,IMPACT341
P-0005510-T01-IM5,IMPACT410
P-0008176-T01-IM5,IMPACT410
P-0002546-T01-IM3,IMPACT341
P-0003119-T01-IM5,IMPACT410
P-0001665-T01-IM3,IMPACT341
P-0008935-T01-IM5,IMPACT410
P-0004442-T01-IM5,IMPACT410
P-0005848-T01-IM5,IMPACT410
P-0012729-T01-IM5,IMPACT410
P-0006114-T02-IM5,IMPACT410
P-0003017-T01-IM3,IMPACT341
P-0015556-T01-IM6,IMPACT468
P-0008295-T01-IM5,IMPACT410
P-0012846-T01-IM5,IMPACT410
P-0010065-T01-IM5,IMPACT410
P-0014818-T01-IM6,IMPACT468
P-0014451-T01-IM6,IMPACT468
P-0004588-T01-IM5,IMPACT410
P-0007879-T01-IM5,IMPACT410
P-0002160-T01-IM3,IMPACT341
P-0004890-T01-IM5,IMPACT410
P-0014172-T01-IM5,IMPACT410
P-0008786-T01-IM5,IMPACT410
P-0016033-T01-IM6,IMPACT468
P-0001365-T02-IM3,IMPACT341
P-0005048-T01-IM5,IMPACT410
P-0000894-T01-IM3,IMPACT341
P-0000012-T03-IM3,IMPACT341
P-0007121-T01-IM5,IMPACT410
P-0012427-T01-IM5,IMPACT410
P-0007101-T02-IM5,IMPACT410
P-0002917-T01-IM3,IMPACT341
P-0000604-T01-IM3,IMPACT341
P-0015780-T01-IM6,IMPACT468
P-0015785-T01-IM6,IMPACT468
P-0006312-T02-IM5,IMPACT410
P-0016646-T01-IM6,IMPACT468
P-0000082-T01-IM3,IMPACT341
P-0016046-T01-IM6,IMPACT468
