Hugo_Symbol,SEQ_ASSAY_ID
ABL1,FoundationOne
AKT1,FoundationOne
AKT2,FoundationOne
AKT3,FoundationOne
ALK,FoundationOne
ALOX12B,FoundationOne
APC,FoundationOne
APCDD1,FoundationOne
AR,FoundationOne
ARAF,FoundationOne
ARFRP1,FoundationOne
ARID1A,FoundationOne
ARID2,FoundationOne
ASXL1,FoundationOne
ATM,FoundationOne
ATR,FoundationOne
ATRX,FoundationOne
AURKA,FoundationOne
AURKB,FoundationOne
AXL,FoundationOne
BACH1,FoundationOne
BAP1,FoundationOne
BARD1,FoundationOne
BCL2,FoundationOne
BCL2L2,FoundationOne
BCL6,FoundationOne
BCOR,FoundationOne
BCORL1,FoundationOne
BLM,FoundationOne
BRAF,FoundationOne
BRCA1,FoundationOne
BRCA2,FoundationOne
BRIP1,FoundationOne
BTG1,FoundationOne
BTK,FoundationOne
C17orf39 (GID4),FoundationOne
CARD11,FoundationOne
CASP8,FoundationOne
CBFB,FoundationOne
CBL,FoundationOne
CCND1,FoundationOne
CCND2,FoundationOne
CCND3,FoundationOne
CCNE1,FoundationOne
CD79A,FoundationOne
CD79B,FoundationOne
CDC73,FoundationOne
CDH1,FoundationOne
CDK12,FoundationOne
CDK4,FoundationOne
CDK6,FoundationOne
CDK8,FoundationOne
CDKN1B,FoundationOne
CDKN2A,FoundationOne
CDKN2B,FoundationOne
CDKN2C,FoundationOne
CEBPA,FoundationOne
CHEK1,FoundationOne
CHEK2,FoundationOne
CHUK,FoundationOne
CIC,FoundationOne
CRBN,FoundationOne
CREBBP,FoundationOne
CRKL,FoundationOne
CRLF2,FoundationOne
CSF1R,FoundationOne
CTCF,FoundationOne
CTNNA1,FoundationOne
CTNNB1,FoundationOne
CUL4A,FoundationOne
CUL4B,FoundationOne
CYP17A1,FoundationOne
DAXX,FoundationOne
DDR2,FoundationOne
DIS3,FoundationOne
DNMT3A,FoundationOne
DOT1L,FoundationOne
EGFR,FoundationOne
EMSY,FoundationOne
EP300,FoundationOne
EPHA3,FoundationOne
EPHA5,FoundationOne
EPHB1,FoundationOne
ERBB2,FoundationOne
ERBB3,FoundationOne
ERBB4,FoundationOne
ERG,FoundationOne
ESR1,FoundationOne
EZH2,FoundationOne
FAM123B (WTX),FoundationOne
FAM46C,FoundationOne
FANCA,FoundationOne
FANCC,FoundationOne
FANCD2,FoundationOne
FANCE,FoundationOne
FANCF,FoundationOne
FANCG,FoundationOne
FANCI,FoundationOne
FANCL,FoundationOne
FANCM,FoundationOne
FAT3,FoundationOne
FBXW7,FoundationOne
FGF10,FoundationOne
FGF12,FoundationOne
FGF14,FoundationOne
FGF19,FoundationOne
FGF23,FoundationOne
FGF3,FoundationOne
FGF4,FoundationOne
FGF6,FoundationOne
FGF7,FoundationOne
FGFR1,FoundationOne
FGFR2,FoundationOne
FGFR3,FoundationOne
FGFR4,FoundationOne
FLT1,FoundationOne
FLT3,FoundationOne
FLT4,FoundationOne
FOXL2,FoundationOne
GATA1,FoundationOne
GATA2,FoundationOne
GATA3,FoundationOne
GNA11,FoundationOne
GNA13,FoundationOne
GNAQ,FoundationOne
GNAS,FoundationOne
GPR124,FoundationOne
GRIN2A,FoundationOne
GSK3B,FoundationOne
HGF,FoundationOne
HLA-A,FoundationOne
HRAS,FoundationOne
IDH1,FoundationOne
IDH2,FoundationOne
IGF1,FoundationOne
IGF1R,FoundationOne
IGF2,FoundationOne
IKBKE,FoundationOne
IKZF1,FoundationOne
IL7R,FoundationOne
INHBA,FoundationOne
IRF4,FoundationOne
IRS2,FoundationOne
JAK1,FoundationOne
JAK2,FoundationOne
JAK3,FoundationOne
JUN,FoundationOne
KDM5A,FoundationOne
KDM5C,FoundationOne
KDM6A,FoundationOne
KDR,FoundationOne
KEAP1,FoundationOne
KIT,FoundationOne
KLHL6,FoundationOne
KRAS,FoundationOne
LMO1,FoundationOne
LRP1B,FoundationOne
