Hugo_Symbol,SEQ_ASSAY_ID
ABL1,UHN-48-V1
AKT1,UHN-48-V1
ALK,UHN-48-V1
APC,UHN-48-V1
ATM,UHN-48-V1
BRAF,UHN-48-V1
CDH1,UHN-48-V1
CDKN2A,UHN-48-V1
CSF1R,UHN-48-V1
CTNNB1,UHN-48-V1
EGFR,UHN-48-V1
ERBB2,UHN-48-V1
ERBB4,UHN-48-V1
FBXW7,UHN-48-V1
FGFR1,UHN-48-V1
FGFR2,UHN-48-V1
FGFR3,UHN-48-V1
FLT3,UHN-48-V1
GNA11,UHN-48-V1
GNAQ,UHN-48-V1
GNAS,UHN-48-V1
HNF1A,UHN-48-V1
HRAS,UHN-48-V1
IDH1,UHN-48-V1
JAK2,UHN-48-V1
JAK3,UHN-48-V1
KDR,UHN-48-V1
KIT,UHN-48-V1
KRAS,UHN-48-V1
MET,UHN-48-V1
MLH1,UHN-48-V1
MPL,UHN-48-V1
NOTCH1,UHN-48-V1
NPM1,UHN-48-V1
NRAS,UHN-48-V1
PDGFRA,UHN-48-V1
PIK3CA,UHN-48-V1
PTEN,UHN-48-V1
PTPN11,UHN-48-V1
RB1,UHN-48-V1
RET,UHN-48-V1
SMAD4,UHN-48-V1
SMARCB1,UHN-48-V1
SMO,UHN-48-V1
SRC,UHN-48-V1
STK11,UHN-48-V1
TP53,UHN-48-V1
VHL,UHN-48-V1
ABL1,UHN-50-V2
AKT1,UHN-50-V2
ALK,UHN-50-V2
APC,UHN-50-V2
ATM,UHN-50-V2
BRAF,UHN-50-V2
CDH1,UHN-50-V2
CDKN2A,UHN-50-V2
CSF1R,UHN-50-V2
CTNNB1,UHN-50-V2
EGFR,UHN-50-V2
ERBB2,UHN-50-V2
ERBB4,UHN-50-V2
EZH2,UHN-50-V2
FBXW7,UHN-50-V2
FGFR1,UHN-50-V2
FGFR2,UHN-50-V2
FGFR3,UHN-50-V2
FLT3,UHN-50-V2
GNA11,UHN-50-V2
GNAQ,UHN-50-V2
GNAS,UHN-50-V2
HNF1A,UHN-50-V2
HRAS,UHN-50-V2
IDH1,UHN-50-V2
IDH2,UHN-50-V2
JAK2,UHN-50-V2
JAK3,UHN-50-V2
KDR,UHN-50-V2
KIT,UHN-50-V2
KRAS,UHN-50-V2
MET,UHN-50-V2
MLH1,UHN-50-V2
MPL,UHN-50-V2
NOTCH1,UHN-50-V2
NPM1,UHN-50-V2
NRAS,UHN-50-V2
PDGFRA,UHN-50-V2
PIK3CA,UHN-50-V2
PTEN,UHN-50-V2
PTPN11,UHN-50-V2
RB1,UHN-50-V2
RET,UHN-50-V2
SMAD4,UHN-50-V2
SMARCB1,UHN-50-V2
SMO,UHN-50-V2
SRC,UHN-50-V2
STK11,UHN-50-V2
TP53,UHN-50-V2
VHL,UHN-50-V2
ABL1,GRCC-CHP2
AKT1,GRCC-CHP2
ALK,GRCC-CHP2
APC,GRCC-CHP2
ATM,GRCC-CHP2
BRAF,GRCC-CHP2
CDH1,GRCC-CHP2
CDKN2A,GRCC-CHP2
CSF1R,GRCC-CHP2
CTNNB1,GRCC-CHP2
EGFR,GRCC-CHP2
ERBB2,GRCC-CHP2
ERBB4,GRCC-CHP2
EZH2,GRCC-CHP2
FBXW7,GRCC-CHP2
FGFR1,GRCC-CHP2
FGFR2,GRCC-CHP2
FGFR3,GRCC-CHP2
FLT3,GRCC-CHP2
GNA11,GRCC-CHP2
GNAQ,GRCC-CHP2
GNAS,GRCC-CHP2
HNF1A,GRCC-CHP2
HRAS,GRCC-CHP2
IDH1,GRCC-CHP2
IDH2,GRCC-CHP2
JAK2,GRCC-CHP2
JAK3,GRCC-CHP2
KDR,GRCC-CHP2
KIT,GRCC-CHP2
KRAS,GRCC-CHP2
MET,GRCC-CHP2
MLH1,GRCC-CHP2
MPL,GRCC-CHP2
NOTCH1,GRCC-CHP2
NPM1,GRCC-CHP2
NRAS,GRCC-CHP2
PDGFRA,GRCC-CHP2
PIK3CA,GRCC-CHP2
PTEN,GRCC-CHP2
PTPN11,GRCC-CHP2
RB1,GRCC-CHP2
RET,GRCC-CHP2
SMAD4,GRCC-CHP2
SMARCB1,GRCC-CHP2
SMO,GRCC-CHP2
SRC,GRCC-CHP2
STK11,GRCC-CHP2
TP53,GRCC-CHP2
VHL,GRCC-CHP2
ABL1,GRCC-CP1
AKT1,GRCC-CP1
ALK,GRCC-CP1
APC,GRCC-CP1
ATM,GRCC-CP1
BRAF,GRCC-CP1
CDH1,GRCC-CP1
CDKN2A,GRCC-CP1
CTNNB1,GRCC-CP1
EGFR,GRCC-CP1
ERBB2,GRCC-CP1
ERBB4,GRCC-CP1
FBXW7,GRCC-CP1
FGFR1,GRCC-CP1
FGFR2,GRCC-CP1
FGFR3,GRCC-CP1
FLT3,GRCC-CP1
GNAS,GRCC-CP1
HNF1A,GRCC-CP1
HRAS,GRCC-CP1
IDH1,GRCC-CP1
JAK2,GRCC-CP1
JAK3,GRCC-CP1
