Hugo_Symbol,SEQ_ASSAY_ID
AADAC,TSP
AATK,TSP
ABL1,TSP
ABL2,TSP
ACTR2,TSP
ACVR1,TSP
ACVR1B,TSP
ACVR1C,TSP
ACVR2B,TSP
ACVRL1,TSP
ADRBK1,TSP
ADRBK2,TSP
AKT1,TSP
AKT2,TSP
AKT3,TSP
ALK,TSP
ALS2CR2,TSP
ALS2CR7,TSP
AMHR2,TSP
ANKK1,TSP
APC,TSP
ARAF,TSP
ARMET,TSP
ATM,TSP
ATR,TSP
AURKB,TSP
AURKC,TSP
AXL,TSP
BAD,TSP
BAGE3,TSP
BAGE4,TSP
BAP1,TSP
BARD1,TSP
BAX,TSP
BCL2,TSP
BCL3,TSP
BCL6,TSP
BLK,TSP
BMPR1A,TSP
BMPR1B,TSP
BMPR2,TSP
BMX,TSP
BRAF,TSP
BRAP,TSP
BRCA1,TSP
BRCA2,TSP
BTK,TSP
BUB1,TSP
BUB1B,TSP
C3orf14,TSP
C3orf18,TSP
C3orf45,TSP
CACNA2D2,TSP
CADPS,TSP
CAMKV,TSP
CASK,TSP
CBL,TSP
CBLB,TSP
CBLC,TSP
CCNA1,TSP
CCNA2,TSP
CCNB3,TSP
CCND1,TSP
CCND2,TSP
CCND3,TSP
CCNE1,TSP
CCNE2,TSP
CCNG1,TSP
CCNG2,TSP
CCNH,TSP
CCNK,TSP
CCNT1,TSP
CCNT2,TSP
CCRK,TSP
CDC2,TSP
CDC25A,TSP
CDC25B,TSP
CDC25C,TSP
CDC2L2,TSP
CDC2L5,TSP
CDC2L6,TSP
CDC42BPA,TSP
CDC42BPB,TSP
CDC42BPG,TSP
CDC7,TSP
CDH1,TSP
CDH11,TSP
CDH4,TSP
CDK10,TSP
CDK2,TSP
CDK3,TSP
CDK4,TSP
CDK5,TSP
CDK6,TSP
CDK7,TSP
CDK8,TSP
CDK9,TSP
CDKN1A,TSP
CDKN1B,TSP
CDKN1C,TSP
CDKN2A,TSP
CDKN2B,TSP
CDKN2C,TSP
CDKN2D,TSP
CDKN3,TSP
CEBPA,TSP
CHEK1,TSP
CHEK2,TSP
CISH,TSP
CNKSR1,TSP
CNTN4,TSP
CNTN6,TSP
CRK,TSP
CRK7,TSP
CRKL,TSP
CROT,TSP
CSF1R,TSP
CSK,TSP
CTNNB1,TSP
CYB561D2,TSP
CYLD,TSP
CYSLTR2,TSP
DDR1,TSP
DDR2,TSP
DHH,TSP
DIRAS3,TSP
DKFZp434N035,TSP
DMPK,TSP
DOCK3,TSP
DUSP6,TSP
DUSP24,TSP
E2F1,TSP
E2F2,TSP
E2F3,TSP
E2F4,TSP
E2F5,TSP
E2F6,TSP
EGFR,TSP
EIF4E,TSP
EIF4EBP1,TSP
EIF4G1,TSP
EPHA1,TSP
EPHA2,TSP
EPHA3,TSP
EPHA4,TSP
EPHA5,TSP
EPHA6,TSP
EPHA7,TSP
EPHA8,TSP
EPHB1,TSP
EPHB2,TSP
EPHB3,TSP
EPHB4,TSP
EPHB6,TSP
EPHX1,TSP
EPM2A,TSP
ERAS,TSP
ERBB2,TSP
ERBB3,TSP
ERBB4,TSP
ERCC2,TSP
ERG,TSP
ETS1,TSP
ETS2,TSP
ETV6,TSP
ETV7,TSP
EVI1,TSP
FAS,TSP
FBXW7,TSP
FER,TSP
FES,TSP
FEV,TSP
FGF3,TSP
FGF4,TSP
FGF5,TSP
FGFR1,TSP
FGFR2,TSP
FGFR3,TSP
FGFR4,TSP
FGR,TSP
FH,TSP
FHIT,TSP
FKBP1A,TSP
FLJ25006,TSP
FLJ30473,TSP
FLT1,TSP
FLT3,TSP
FLT4,TSP
FNDC3A,TSP
FOS,TSP
FOSB,TSP
FOSL2,TSP
FOXO1A,TSP
FOXO3A,TSP
FOXP1,TSP
FRK,TSP
FYN,TSP
GAK,TSP
GATA1,TSP
GBL,TSP
GCK,TSP
GGT2,TSP
GNAI2,TSP
GNAS,TSP
GNAT1,TSP
GPC3,TSP
GRB10,TSP
GRB14,TSP
GRB2,TSP
GRB7,TSP
GRK1,TSP
GRK4,TSP
GRK5,TSP
GRK6,TSP
GRK7,TSP
GSK3A,TSP
GSK3B,TSP
HCK,TSP
HD,TSP
HEMK1,TSP
HHIP,TSP
HIC2,TSP
HIF1A,TSP
HRAS,TSP
HRPT2,TSP
HYAL1,TSP
HYAL2,TSP
HYAL3,TSP
IFRD2,TSP
IGF1R,TSP
IHH,TSP
IKBKB,TSP
IKBKE,TSP
ILK,TSP
INHBA,TSP
INSR,TSP
INSRR,TSP
IRAK1,TSP
IRAK2,TSP
IRAK3,TSP
IRAK4,TSP
IRS1,TSP
IRS2,TSP
ITK,TSP
JAG1,TSP
JAG2,TSP
JAK1,TSP
JAK2,TSP
JAK3,TSP
JUN,TSP
JUNB,TSP
JUND,TSP
JUP,TSP
KDR,TSP
KELCHL,TSP
KIAA1804,TSP
KIT,TSP
KLF6,TSP
KRAS,TSP
KSR1,TSP
KSR2,TSP
LATS1,TSP
LATS2,TSP
LCK,TSP
LIMD1,TSP
LIMK1,TSP
LIMK2,TSP
LMTK2,TSP
LMTK3,TSP
LOC150786,TSP
LOC375133,TSP
LOC400891,TSP
LRP1B,TSP
LRRK1,TSP
LRRK2,TSP
LTF,TSP
LTK,TSP
LYK5,TSP
LYN,TSP
LZTR1,TSP
MAF,TSP
MAFA,TSP
MAFB,TSP
MAFF,TSP
MAFG,TSP
MAFK,TSP
MAML1,TSP
MAML2,TSP
MAML3,TSP
MAP2K1,TSP
MAP2K2,TSP
MAP2K4,TSP
MAP2K5,TSP
MAP2K6,TSP
MAP2K7,TSP
MAP3K1,TSP
MAP3K10,TSP
MAP3K11,TSP
MAP3K12,TSP
MAP3K13,TSP
MAP3K14,TSP
MAP3K15,TSP
MAP3K2,TSP
MAP3K3,TSP
MAP3K4,TSP
MAP3K5,TSP
MAP3K6,TSP
MAP3K7,TSP
MAP3K8,TSP
MAP3K9,TSP
MAP4K1,TSP
MAP4K3,TSP
MAP4K4,TSP
MAP4K5,TSP
MAPK1,TSP
MAPK10,TSP
MAPK11,TSP
MAPK12,TSP
MAPK13,TSP
MAPK14,TSP
MAPK15,TSP
MAPK3,TSP
MAPK4,TSP
MAPK6,TSP
MAPK7,TSP
MAPK8,TSP
MAPK9,TSP
MAPKAPK3,TSP
MAST1,TSP
MAST2,TSP
MAST3,TSP
MAST4,TSP
MASTL,TSP
MATK,TSP
MDM2,TSP
MDM4,TSP
